,Store,Product Name,Price,promo Price,Brand Name,Product URL,Product Picture URL
0,PB Technologies Ltd,Lenovo Think Center M910Q Intel Core i5 6400T Tiny PC (A-Grade Refurbished)    ,249,0,8GB RAM - 256GB SSD - Win 10 Pro (Upgraded) - Reconditioned by PBTech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSLEN90015__1.jpg?h=4235909754
1,PB Technologies Ltd,Lenovo ThinkCentre M710q Intel Core i5 6400T Tiny Desktop PC (A-Grade Refurbished)    ,384,0,8GB RAM - 256GB SSD - Win10 Pro (Upgraded) - Includes Power Adapter & Power Cord - Reconditioned by PBTech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSLEN70110__1.jpg?h=1654349478
2,PB Technologies Ltd,HP Z2 G4 Intel Xeon E-2136 SFF Workstation (A-Grade Refurbished)    ,"1,092",0,32GB RAM - 1TB SSD - Win11 Pro - Nvidia QUADRO P1000 Graphics - Reconditioned by PB Tech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSHP20251__1.jpg?h=3190180983
3,PB Technologies Ltd,Lenovo Think Centre M720q Intel Core i5-8400T Tiny Desktop PC (A-Grade Refurbished)    ,599,0,8GB RAM - 256GB NVME SSD - Win11 Pro - Includes Power Adapter & Power Cord - Reconditioned by PB Tech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSLEN07203__1.jpg?h=1228086298
4,PB Technologies Ltd,HP ProDesk 400 G4 Intel i3 7100 SFF Desktop PC (A Grade Refurbished)    ,349,$331.56,8GB RAM - 256GB SSD - Win10 Pro 64bit - Recondition by PBTech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSHP4005__3.jpg?h=401443525
5,PB Technologies Ltd,Lenovo ThinkCentre M900 Intel Core i5-6600T Tiny Desktop PC (A Grade Refurbished)    ,599,$569.05,8GB RAM - 256GB SSD - On-board WiFi - Win10 Pro (Upgraded) - Reconditioned by PBTech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSLEN90012__1.jpg?h=1152060847
6,PB Technologies Ltd,Dell Optiplex 7070 Intel Core i5-9600 SFF Desktop PC (A-Grade Refurbished)    ,690,0,8GB DDR4 RAM - 256GB SSD - Win11 Home 64bit - Reconditioned by PBTech - 1 Year Warranty (RTB),https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSDEL70732__1.jpg?h=3873304390
7,PB Technologies Ltd,Dell Optiplex 7070  Micro PC (A-Grade Refurbished)    ,549,0,Intel Core i5-9500T - 16GB RAM - 256GB SSD - Win11 Pro 64bit - Includes Power Cord & Power Adapter - Reconditioned  by PBTech - 1 Years Warranty (RTB),https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSDEL70702__1.jpg?h=3601697466
8,PB Technologies Ltd,HP Z2 G5 Intel Core i7-10700K Tower Desktop PC (A-Grade Refurbished)    ,"1,598","$1,519.05",64GB RAM - 1TB SSD - NVIDIA Geforce RTX 2060 SUPER - Win11 Pro - Reconditioned by PBTech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSHP2028__1.jpg?h=2400944753
9,PB Technologies Ltd,HP Elitedesk 800 G4 Intel Core i5 8500 Tower Desktop PC (A-Grade Refurbished)    ,690,0,16GB RAM - 256GB SDD - Win11 Home (Upgraded) - Recondition by PB Tech - 1 Year PB Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSHP80040204__1.jpg?h=3915346097
10,PB Technologies Ltd,Lenovo Think Center P330 Intel Core i5-9500 Tiny Desktop PC (A Grade Refurbished)    ,599,0,16GB RAM - 256GB SSD - Win 11 Pro (Upgraded) - Includes Power Adapter & Power Cord - Reconditioned by PBTech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSLEN0335__1.jpg?h=3261486568
11,PB Technologies Ltd,Dell Optiplex 7060 Intel Core i5 8400 SFF Desktop PC (A-Grade Refurbished)    ,575,$546.25,8GB RAM - 256GB SSD - Win11  Home - Reconditioned by PB Tech - 1 Year Warranty (RTB),https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSDEL7060104__2.jpg?h=1865166840
12,PB Technologies Ltd,Dell Precision 3431 Intel Core i7-9700 SFF PC (A-Grade Refurbished)    ,788,$989.00,16GB RAM - 1TB SSD - Nvidia Quadro P620 - Win11 Pro - Reconditioned by PB Tech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSDEL3431__1.jpg?h=1357452704
13,PB Technologies Ltd,HP Elitedesk 800 G5 Intel Core i5 9500T Desktop Mini PC (A-Grade Refurbished)    ,920,0,16GB RAM - 1TB SSD( NEW) - On-Board Wifi - Win 11 Pro - Includes Power Cord & Power Adapter - Includes HP Wireless Keyboard and Mouse Combo - Recondition by PB Tech - 2 Year PB Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSHP800505__1.jpg?h=1018834619
14,PB Technologies Ltd,HP  Z1 G5 Intel Core i7-9700 Workstation PC (A-Grade Refurbished)    ,"1,399","$1,262.60",32GB RAM - 512GB SSD - Win11 Pro - NVIDIA GEFORCE RTX 2060 - Reconditioned by PBTech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSHP1012__1.jpg?h=1742321013
15,PB Technologies Ltd,Dell Precision 3630 Intel Core i7-8700 Tower PC (A-Grade Refurbished)    ,"1,150",0,16GB RAM - 512GB SSD - Nvidia Quadro P1000 - Win11 Pro - Reconditioned by PB Tech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSDEL3633__1.jpg?h=1931408397
16,PB Technologies Ltd,Lenovo ThinkCentre M70Q Intel Core i5-10500T Tiny Desktop (A-Grade Refurbished)    ,799,0,16GB RAM - 256GB SSD - Win11 Pro - Includes Power Adapter & Power Cord - Reconditioned by PB Tech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSLEN07005__1.jpg?h=3692852882
17,PB Technologies Ltd,HP Elitedesk 705 G4 AMD Ryzen 5 Pro 2400G SFF Desktop (A-Grade Refurbished)    ,549,$521.55,8GB RAM - 256GB SSD  - Win 10 Pro - Reconditioned by PBTech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSHP70050__4.jpg?h=899105429
18,PB Technologies Ltd,HP EliteDesk 800 G5 Intel Core i5 9500 SFF PC (A-Grade Refurbished)    ,690,$655.50,8GB RAM - 256GB SSD - Win11 Home - Reconditioned by PB Tech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSHP800513__1.jpg?h=128684930
19,PB Technologies Ltd,Lenovo ThinkCentre M70Q Intel Core i5-10500T Tiny Desktop (A-Grade Refurbished)    ,899,0,16GB RAM - 512GB SSD - Win11 Pro - Includes Power Adapter & Power Cord - Reconditioned by PB Tech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSLEN07006__1.jpg?h=1236667749
20,PB Technologies Ltd,HP  Z240 Intel Xeon E3-1225 V5 SFF Desktop PC (A-Grade Refurbished)    ,499,$366.80,8GB DDR4 RAM - 240GB SSD - Win 10 Pro(upgraded) - Reconditioned by PBTech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSHPZ2400__6.jpg?h=433048007
21,PB Technologies Ltd,Lenovo Think Centre M720q Intel Core i5-8400T Tiny Desktop PC (A-Grade Refurbished)    ,699,0,32GB RAM - 256GB NVME SSD - Win11 Pro - Includes Power Adapter & Power Cord - Reconditioned by PB Tech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSLEN7206__1.jpg?h=1990623389
22,PB Technologies Ltd,HP ProDesk 400 G3 Intel Core i5 7500T Mini Desktop PC (B-Grade Refurbished)    ,549,$521.55,8GB RAM - 128GB SSD - OnBoard Wi-Fi - Win10 Pro - Reconditioned by PBTech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSHP400300B__1.jpg?h=1148802597
23,PB Technologies Ltd,Dell Optiplex 7040 Intel Core i7 6700 SFF Desktop PC (A-Grade Refurbished)    ,575,0,8GB RAM - 256GB SSD - Win10 Home - Reconditioned by PB Tech - 1 Year Warranty (RTB),https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSDEL074412__1.jpg?h=4060019588
24,PB Technologies Ltd,Dell Optiplex 7080 Intel Core i5-10600 SFF Desktop (A-Grade Refurbished)    ,899,$854.05,16GB RAM - 512GB SSD - Win11 Pro - Reconditioned by PBTech - 1 Year Warranty (RTB),https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSDEL70800__5.jpg?h=396676127
25,PB Technologies Ltd,HP EliteDesk 800 G3 Intel Core i5 6500 SFF Desktop PC (A-Grade Refurbished)    ,575,0,8GB RAM - 256GB SSD - Win10 Home (Upgraded) - Reconditioned by PB Tech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSHP800304__1.jpg?h=4225746597
26,PB Technologies Ltd,HP EliteDesk 800 G3 Intel Core i5 7500 SFF Desktop PC (B-Grade Refurbished)    ,499,0,8GB RAM - 128GB SSD - Win10 Pro (Upgraded) - Reconditioned by PB Tech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSHP800304B__1.jpg?h=541364366
27,PB Technologies Ltd,Dell Optiplex 7070 Intel Core i5 9500 SFF PC (A-Grade Refurbished)    ,599,0,8GB RAM - 256GB SSD - Win11 Pro - Reconditioned by PBTech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSDEL70731__1.jpg?h=2717557594
28,PB Technologies Ltd,Lenovo ThinkCentre M70Q Intel Core i5-10500T Tiny Desktop (A-Grade Refurbished)    ,799,0,16GB RAM - 256GB SSD - Win11 Pro - Includes Power Adapter & Power Cord - Reconditioned by PB Tech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSLEN070050__1.jpg?h=3870148612
29,PB Technologies Ltd,HP Elitedesk 800 G4 Intel Core i5 8500 SFF Desktop PC (A-Grade Refurbished)    ,549,0,8GB RAM - 256GB SSD - Win11 Pro - Reconditioned by PB Tech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSHP800411__1.jpg?h=755159708
30,PB Technologies Ltd,HP EliteDesk 800 G5 Intel Core i5-9500 SFF Business PC (A-Grade Refurbished)    ,860,0,16GB RAM - 256GB SSD - DVDRW - 2x DisplayPort - USB - Win11Pro - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSHP80050011__1.jpg?h=4059649157
31,PB Technologies Ltd,Lenovo Think Center M920Q Intel Core i5-8500T Tiny PC (A Grade Refurbished)    ,569,0,2.10GHz - 16GB RAM - 256GB SSD - Win10 Pro (Upgraded) - Reconditioned by PBTech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSLEN009105__2.jpg?h=1109051387
32,PB Technologies Ltd,Lenovo Think Center M910T Intel Core i5 6500 Tiny PC (A Grade Refurbished)    ,469,$445.56,8GB RAM - 256GB SSD - 2x Displayport - Win10 Pro (Upgraded) - Includes Power Adapter & Power Cord - Reconditioned by PBTech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSLEN09100__1.jpg?h=1268541031
33,PB Technologies Ltd,HP EliteDesk 800 G3 Intel Core i5-6500 Mini Desktop PC (A-Grade Refurbished)    ,399,0,8GB RAM - 256GB SSD -  Wifi Onboard - Win10 Pro - Reconditioned by PBTech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSHP8003013__1.jpg?h=2887910262
34,PB Technologies Ltd,Lenovo Think Centre M720q Intel Core i5-8400T Tiny Desktop PC (A-Grade Refurbished)    ,729,0,16GB RAM - 500GB SSD - Win11 Pro - Includes Power Adapter & Power Cord - Reconditioned by PB Tech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSLEN07206__1.jpg?h=1535907891
35,PB Technologies Ltd,Fujitsu Esprimo G558 Intel Core i5 9400T Micro Desktop (A-Grade Refurbished)    ,599,0,8GB RAM - 512GB SSD - Win11 Pro (Upgraded) - Includes Power Adapter & Power Cord - Reconditioned by PBTech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSFUJ05580__1.jpg?h=2345910089
36,PB Technologies Ltd,HP EliteDesk 800 G3 Intel Core i5 7500T Mini Desktop PC (A-Grade Refurbished)    ,499,0,16GB RAM - 256GB SSD - Onboard WiFi - Win10 Pro - Includes (New) Wireless Keyboard & Mouse - Reconditioned by PB Tech - 1 Year Warranty (RTB),https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSHP8003011__2.jpg?h=1021467262
37,PB Technologies Ltd,Dell Optiplex 7060 Intel Core i5 8500 SFF Desktop PC (A-Grade Refurbished)    ,499,0,8GB RAM - 256GB SSD - Win11 Pro - Reconditioned by PB Tech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSDEL7060105__2.jpg?h=3696148463
38,PB Technologies Ltd,Dell Optiplex 7050 Intel Core i5-6600 SFF Desktop PC (A-Grade Refurbished)    ,439,$417.05,8GB RAM - 256GB SSD - Win10 Pro - HDMI & DisplayPort - Reconditioned  by PBTech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSDEL705092__1.jpg?h=3725778453
39,PB Technologies Ltd,Lenovo Think Center M910Q Intel Core i5 7500T Tiny PC (A-Grade Refurbished)    ,399,0,8GB RAM - 256GB SSD - Win 10 Pro (Upgraded) - Includes Power Adapter & Power Cord - Reconditioned by PBTech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSLEN90020__1.jpg?h=4062316228
40,PB Technologies Ltd,HP Elitedesk 800 G5 Desktop Mini Intel Core i7 9700 PC (A-Grade Refurbished)    ,"1,049",0,16GB RAM - 512GB SSD (NEW) - On-Board Wifi  - Win 11 Pro - HP Wired Keyboard & Mouse - Reconditioned by PBTech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSHP800518__1.jpg?h=2644429023
41,PB Technologies Ltd,HP  Z440 Intel Xeon E5-1603 V3 Workstation (A-Grade Refurbished)    ,977,0,16GB RAM - 256GB SSD & 1TB HDD - Quadro M4000 - Win 11 Pro - Reconditioned by PB tech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSHPZ440__1.jpg?h=2107383822
42,PB Technologies Ltd,HP EliteDesk 800 G3 Intel Core i5 7500 SFF Desktop PC (A-Grade Refurbished)    ,349,$460.00,8GB RAM - 128GB SSD - Win10 Pro- Reconditioned by PB Tech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSHP800300__2.jpg?h=3151005600
43,PB Technologies Ltd,HP  Z240 Intel i5-6500 Tower Workstation (A-Grade Refurbished)    ,645,$568.24,8GB DDR4 RAM - 256GB SSD - Win 10 Pro(upgraded) - Reconditioned by PBTech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSHPZ240__1.jpg?h=2662362405
44,PB Technologies Ltd,HP Elitedesk 800 G3 Intel Core i5 6500 Mini Desktop (A Grade Refurbished)    ,399,$379.05,16GB RAM - 250GB SSD -  Win10 Pro - Reconditioned by PBTech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSHP8003034__1.jpg?h=1773763475
45,PB Technologies Ltd,HP Thin Client H2W23AA Smart Zero Client T410 (A-Grade Refurbished)    ,920,$642.47,1GHz 1GB RAM - Reconditioned  by PBTech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSHP410__1.jpg?h=1470860570
46,PB Technologies Ltd,Dell Optiplex 3080 Intel Core i5-10500T SFF PC (A-Grade Refurbished)    ,799,$759.05,16GB RAM - 256GB SSD - Win11 Pro 64bit - Reconditioned by PBTech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSDEL3080__2.jpg?h=1174052592
47,PB Technologies Ltd,HP Elitedesk 800 G3 Intel Core i5 7500T Desktop Mini (A Grade Refurbished)    ,399,$379.05,8GB RAM - 256GB SSD - Win10 Pro - Reconditioned by PB Tech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSHP8003033__1.jpg?h=1970081015
48,PB Technologies Ltd,HP Z2 Mini G5 Intel Core i5-10500 Workstation (A-Grade Refurbished)    ,"1,150","$1,092.50",16GB RAM - 512GB SSD - Win11 Pro - QUADRO T1000 MOBILE - Includes Power Cord & Power Adapter - Reconditioned by PB Tech - 1 Year Warranty,https://www.pbtech.co.nz/product/EXWKSHP2027/HP-Z2-Mini-G5-Intel-Core-i5-10500-Workstation-A-Gr,https://www.pbtech.co.nz/imgprod/E/X/EXWKSHP2027__1.jpg?h=2151633741
